GraphType,|V|,|E| (mean),Density,EmpTime(s),±StdTime,EmpComp,±StdComp,TheoreticalTerm(V^2),Time/V^2,Comp/V^2
Sparse,60,175,0.0494,0.000303,0.000019,3693,0.00,3600.0,0.000000084,1.025833
Sparse,61,177,0.0484,0.000321,0.000045,3621,0.00,3721.0,0.000000086,0.973126
Sparse,62,174,0.0460,0.000299,0.000020,3555,0.00,3844.0,0.000000078,0.924818
Sparse,63,173,0.0443,0.000299,0.000021,3544,0.00,3969.0,0.000000075,0.892920
Sparse,64,177,0.0439,0.000329,0.000019,3924,0.00,4096.0,0.000000080,0.958008
Sparse,65,178,0.0428,0.000350,0.000026,4182,0.00,4225.0,0.000000083,0.989822
Sparse,66,183,0.0427,0.000352,0.000021,4247,0.00,4356.0,0.000000081,0.974977
Sparse,67,187,0.0423,0.000351,0.000022,4242,0.00,4489.0,0.000000078,0.944977
Sparse,68,188,0.0413,0.000368,0.000017,4512,0.00,4624.0,0.000000080,0.975779
Sparse,69,189,0.0403,0.000369,0.000017,4509,0.00,4761.0,0.000000077,0.947070
Sparse,70,186,0.0385,0.000397,0.000016,4790,0.00,4900.0,0.000000081,0.977551
Sparse,71,189,0.0380,0.000412,0.000012,4995,0.00,5041.0,0.000000082,0.990875
Sparse,72,190,0.0372,0.000382,0.000016,4695,0.00,5184.0,0.000000074,0.905671
Sparse,73,194,0.0369,0.000391,0.000015,4753,0.00,5329.0,0.000000073,0.891912
Sparse,74,200,0.0370,0.000412,0.000020,5048,0.00,5476.0,0.000000075,0.921841
Sparse,75,200,0.0360,0.000430,0.000013,5350,0.00,5625.0,0.000000077,0.951111
Sparse,76,203,0.0356,0.000434,0.000013,5507,0.00,5776.0,0.000000075,0.953428
Sparse,77,205,0.0350,0.000453,0.000022,5567,0.00,5929.0,0.000000076,0.938944
Sparse,78,211,0.0351,0.000444,0.000013,5555,0.00,6084.0,0.000000073,0.913051
Sparse,79,215,0.0349,0.000510,0.000034,6112,0.00,6241.0,0.000000082,0.979330
Sparse,80,216,0.0342,0.000501,0.000012,6174,0.00,6400.0,0.000000078,0.964688
Sparse,81,225,0.0347,0.000496,0.000013,6185,0.00,6561.0,0.000000076,0.942692
Sparse,82,227,0.0342,0.000506,0.000015,6409,0.00,6724.0,0.000000075,0.953153
Sparse,83,222,0.0326,0.000527,0.000018,6583,0.00,6889.0,0.000000077,0.955581
Sparse,84,225,0.0323,0.000556,0.000030,6907,0.00,7056.0,0.000000079,0.978883
Sparse,85,231,0.0324,0.000535,0.000006,6827,0.00,7225.0,0.000000074,0.944913
Sparse,86,234,0.0320,0.000567,0.000008,7259,0.00,7396.0,0.000000077,0.981476
Sparse,87,239,0.0319,0.000526,0.000006,6631,0.00,7569.0,0.000000069,0.876073
Sparse,88,235,0.0307,0.000531,0.000006,6714,0.00,7744.0,0.000000069,0.866994
Sparse,89,247,0.0315,0.000631,0.000021,7781,0.00,7921.0,0.000000080,0.982325
Sparse,90,250,0.0312,0.000616,0.000002,7963,0.00,8100.0,0.000000076,0.983086
Sparse,91,256,0.0313,0.000623,0.000014,7848,0.00,8281.0,0.000000075,0.947712
Sparse,92,257,0.0307,0.000632,0.000008,8136,0.00,8464.0,0.000000075,0.961248
Sparse,93,264,0.0309,0.000599,0.000003,7549,0.00,8649.0,0.000000069,0.872818
Sparse,94,264,0.0302,0.000749,0.000072,8495,0.00,8836.0,0.000000085,0.961408
Sparse,95,268,0.0300,0.000693,0.000011,8778,0.00,9025.0,0.000000077,0.972632
Sparse,96,275,0.0302,0.000689,0.000007,8875,0.00,9216.0,0.000000075,0.962999
Sparse,97,281,0.0302,0.000701,0.000001,9159,0.00,9409.0,0.000000075,0.973430
Sparse,98,280,0.0295,0.000710,0.000029,8860,0.00,9604.0,0.000000074,0.922532
Sparse,99,285,0.0294,0.000753,0.000003,9749,0.00,9801.0,0.000000077,0.994694
Sparse,100,288,0.0291,0.000773,0.000018,9844,0.00,10000.0,0.000000077,0.984400
Sparse,101,290,0.0287,0.000724,0.000007,9322,0.00,10201.0,0.000000071,0.913832
Sparse,102,295,0.0286,0.000775,0.000003,10139,0.00,10404.0,0.000000074,0.974529
Sparse,103,301,0.0287,0.001035,0.000391,9818,0.00,10609.0,0.000000098,0.925441
Sparse,104,303,0.0283,0.000838,0.000002,10988,0.00,10816.0,0.000000077,1.015902
Sparse,105,303,0.0277,0.000791,0.000004,10226,0.00,11025.0,0.000000072,0.927528
Sparse,106,305,0.0274,0.000859,0.000019,10859,0.00,11236.0,0.000000076,0.966447
Sparse,107,308,0.0272,0.000834,0.000009,10655,0.00,11449.0,0.000000073,0.930649
Sparse,108,310,0.0268,0.000883,0.000013,11388,0.00,11664.0,0.000000076,0.976337
Sparse,109,309,0.0262,0.000847,0.000007,10929,0.00,11881.0,0.000000071,0.919872
Sparse,110,315,0.0263,0.000913,0.000005,11930,0.00,12100.0,0.000000075,0.985950
Sparse,111,311,0.0255,0.000908,0.000010,11693,0.00,12321.0,0.000000074,0.949030
Sparse,112,313,0.0252,0.000935,0.000015,11922,0.00,12544.0,0.000000075,0.950415
Sparse,113,322,0.0254,0.001001,0.000066,12489,0.00,12769.0,0.000000078,0.978072
Sparse,114,325,0.0252,0.000960,0.000003,12590,0.00,12996.0,0.000000074,0.968760
